case,w_dose,k_cap_dose,V,pitch_offset_mm,pitch_mean_mm,dark_band_mean_mm,dark_band_max_mm,actual_white_fraction_mean,target_met_all,B_index,A_index,C_index
full_wwk,0.24,0.24,60,0.0,2.181688396376086,1.6917722235692818,1.764960362463362,0.6019783394201239,True,106.67540469152755,98.5868237732004,108.20452531966646
thin24_k08_v50,0.24,0.08,50,0.0,1.7372529903275373,1.29877893895322,1.3127869624670663,0.5023539080180756,True,122.07568881609869,117.64878342745557,103.76281442074819
thin24_k10_v40,0.24,0.1,40,0.0,1.6529064612702535,1.2458013563996762,1.281544341236678,0.40241786182013534,True,119.91027024277416,117.84255568856476,101.75464164208556
thin24_k10_v45,0.24,0.1,45,0.0,1.7002511588017986,1.2767798808669566,1.3149604467263312,0.4519408902261046,True,121.24703953421796,116.81513749562043,103.79394497460888
thin24_k10_v50,0.24,0.1,50,0.0,1.748372321586225,1.309236762015549,1.3488862334891474,0.5023539080180756,True,122.16681885420968,115.78428862324526,105.51243204657305
thin24_k10_v55,0.24,0.1,55,0.0,1.7955698028901788,1.3416660981027615,1.382150234077526,0.552089888528611,True,122.66432391579804,114.80612160904884,106.8447589698299
thin24_k10_v60,0.24,0.1,60,0.0,1.8424986626967899,1.3743733561158349,1.4155956160409926,0.6019783394201239,True,122.89752868542087,113.85484237051857,107.94229400052623
thin24_k12_v50,0.24,0.12,50,0.0,1.7871206819319871,1.3455520230260392,1.395495183439244,0.5023539080180756,True,120.3055460925404,113.32421561120181,106.1604930982187
thin22_k10_v50,0.22,0.1,50,0.0,1.6759482338285636,1.2162082805512426,1.2558989470791078,0.5022364615642877,True,134.7589926134017,133.99346964797616,100.57131363747551
thin22_k10_v50_p05,0.22,0.1,50,0.05,1.7259482338285637,1.2498249971050344,1.2881705631251645,0.5555182465350162,True,135.36163116390853,132.47954418596672,102.17549584401961
thin24_k10_v40_p10,0.24,0.1,40,0.1,1.7529064612702536,1.3123308148793542,1.346245726422572,0.5052823495157193,True,122.21226818845317,115.70811052540748,105.62117697152915
thin24_k10_v45_p05,0.24,0.1,45,0.05,1.7502511588017986,1.3106825944820562,1.3482973317722493,0.5023668889516932,True,122.10916294678725,115.75830026637652,105.48631300372973
